true_label,mac,ch_a,seq,len,power,unixtime,ie221_len,ie221_info,ie221,ie255_len,ie255_info,ie255,ie221_oui,ie221_fields,ie0_len,ie0_info,ie0,ie1_len,ie1_info,ie1,ie50_len,ie50_info,ie50,ie3_len,ie3_info,ie3,ie45_len,ie45_info,ie45,ie45_bitmask,ie45_flags,ie127_len,ie127_info,ie127,ie191_len,ie191_info,ie191,ie107_len,ie107_info,ie107
6,b6:63:04:3b:fa:cd,6,2237,26,-26,1681285811.37458,4,"[[0, 80, 242, 8, 0, 19, 0]]",21071,0,[],0,20722,349,0,[],0,8,"[2, 4, 11, 12, 18, 22, 24, 36]",129,4,"[48, 72, 96, 108]",324,1,[7],7,26,"[111, 1, 23, 255, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",391,255,136,8,"[4, 0, 0, 0, 0, 0, 0, 64]",68,12.0,"[49, 113, 0, 3, 254, 255, 0, 0, 254, 255, 0, 0]",1183.0,-1.0,-1,-1.0
6,b6:63:04:3b:fa:cd,6,2238,26,-22,1681285811.410809,4,"[[0, 80, 242, 8, 0, 19, 0]]",21071,0,[],0,20722,349,0,[],0,8,"[2, 4, 11, 12, 18, 22, 24, 36]",129,4,"[48, 72, 96, 108]",324,1,[7],7,26,"[111, 1, 23, 255, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",391,255,136,8,"[4, 0, 0, 0, 0, 0, 0, 64]",68,12.0,"[49, 113, 0, 3, 254, 255, 0, 0, 254, 255, 0, 0]",1183.0,-1.0,-1,-1.0
6,b6:63:04:3b:fa:cd,6,2239,26,-36,1681285811.449703,4,"[[0, 80, 242, 8, 0, 19, 0]]",21071,0,[],0,20722,349,0,[],0,8,"[2, 4, 11, 12, 18, 22, 24, 36]",129,4,"[48, 72, 96, 108]",324,1,[8],8,26,"[111, 1, 23, 255, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",391,255,136,8,"[4, 0, 0, 0, 0, 0, 0, 64]",68,12.0,"[49, 113, 0, 3, 254, 255, 0, 0, 254, 255, 0, 0]",1183.0,-1.0,-1,-1.0
6,b6:63:04:3b:fa:cd,6,2240,26,-38,1681285811.485966,4,"[[0, 80, 242, 8, 0, 19, 0]]",21071,0,[],0,20722,349,0,[],0,8,"[2, 4, 11, 12, 18, 22, 24, 36]",129,4,"[48, 72, 96, 108]",324,1,[8],8,26,"[111, 1, 23, 255, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",391,255,136,8,"[4, 0, 0, 0, 0, 0, 0, 64]",68,12.0,"[49, 113, 0, 3, 254, 255, 0, 0, 254, 255, 0, 0]",1183.0,-1.0,-1,-1.0
6,b6:63:04:3b:fa:cd,6,2241,26,-44,1681285811.525462,4,"[[0, 80, 242, 8, 0, 19, 0]]",21071,0,[],0,20722,349,0,[],0,8,"[2, 4, 11, 12, 18, 22, 24, 36]",129,4,"[48, 72, 96, 108]",324,1,[9],9,26,"[111, 1, 23, 255, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",391,255,136,8,"[4, 0, 0, 0, 0, 0, 0, 64]",68,12.0,"[49, 113, 0, 3, 254, 255, 0, 0, 254, 255, 0, 0]",1183.0,-1.0,-1,-1.0
0,d2:7f:47:24:0c:68,6,4014,26,-38,1681285831.0,46,"[[0, 23, 242, 10, 0, 1, 4, 0, 0, 0, 0], [0, 144, 76, 51, 45, 64, 23, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 80, 242, 8, 0, 15, 0, 0], [0, 16, 24, 2, 0, 0, 16, 0, 0]]",69253,0,[],0,67912,1341,0,[],0,4,"[2, 4, 11, 22]",39,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[4],4,26,"[45, 64, 23, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",387,255,132,8,"[4, 0, 8, 132, 0, 0, 0, 64]",208,-1.0,-1,-1.0,7.0,"[15, 255, 255, 255, 255, 255, 255]",1545.0
0,d2:7f:47:24:0c:68,6,4015,26,-38,1681285831.019378,46,"[[0, 23, 242, 10, 0, 1, 4, 0, 0, 0, 0], [0, 144, 76, 51, 45, 64, 23, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 80, 242, 8, 0, 15, 0, 0], [0, 16, 24, 2, 0, 0, 16, 0, 0]]",69253,0,[],0,67912,1341,0,[],0,4,"[2, 4, 11, 22]",39,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[4],4,26,"[45, 64, 23, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",387,255,132,8,"[4, 0, 8, 132, 0, 0, 0, 64]",208,-1.0,-1,-1.0,7.0,"[15, 255, 255, 255, 255, 255, 255]",1545.0
0,d2:7f:47:24:0c:68,6,4016,26,-30,1681285831.043128,46,"[[0, 23, 242, 10, 0, 1, 4, 0, 0, 0, 0], [0, 144, 76, 51, 45, 64, 23, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 80, 242, 8, 0, 15, 0, 0], [0, 16, 24, 2, 0, 0, 16, 0, 0]]",69253,0,[],0,67912,1341,0,[],0,4,"[2, 4, 11, 22]",39,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[5],5,26,"[45, 64, 23, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",387,255,132,8,"[4, 0, 8, 132, 0, 0, 0, 64]",208,-1.0,-1,-1.0,7.0,"[15, 255, 255, 255, 255, 255, 255]",1545.0
0,d2:7f:47:24:0c:68,6,4017,26,-32,1681285831.064089,46,"[[0, 23, 242, 10, 0, 1, 4, 0, 0, 0, 0], [0, 144, 76, 51, 45, 64, 23, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 80, 242, 8, 0, 15, 0, 0], [0, 16, 24, 2, 0, 0, 16, 0, 0]]",69253,0,[],0,67912,1341,0,[],0,4,"[2, 4, 11, 22]",39,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[5],5,26,"[45, 64, 23, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",387,255,132,8,"[4, 0, 8, 132, 0, 0, 0, 64]",208,-1.0,-1,-1.0,7.0,"[15, 255, 255, 255, 255, 255, 255]",1545.0
0,d2:7f:47:24:0c:68,6,4018,26,-34,1681285831.086861,46,"[[0, 23, 242, 10, 0, 1, 4, 0, 0, 0, 0], [0, 144, 76, 51, 45, 64, 23, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 80, 242, 8, 0, 15, 0, 0], [0, 16, 24, 2, 0, 0, 16, 0, 0]]",69253,0,[],0,67912,1341,0,[],0,4,"[2, 4, 11, 22]",39,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[6],6,26,"[45, 64, 23, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",387,255,132,8,"[4, 0, 8, 132, 0, 0, 0, 64]",208,-1.0,-1,-1.0,7.0,"[15, 255, 255, 255, 255, 255, 255]",1545.0
0,d2:7f:47:24:0c:68,6,4019,26,-34,1681285831.106594,46,"[[0, 23, 242, 10, 0, 1, 4, 0, 0, 0, 0], [0, 144, 76, 51, 45, 64, 23, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 80, 242, 8, 0, 15, 0, 0], [0, 16, 24, 2, 0, 0, 16, 0, 0]]",69253,0,[],0,67912,1341,0,[],0,4,"[2, 4, 11, 22]",39,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[6],6,26,"[45, 64, 23, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",387,255,132,8,"[4, 0, 8, 132, 0, 0, 0, 64]",208,-1.0,-1,-1.0,7.0,"[15, 255, 255, 255, 255, 255, 255]",1545.0
