true_label,mac,ch_a,seq,len,power,unixtime,ie221_len,ie221_info,ie221,ie255_len,ie255_info,ie255,ie221_oui,ie221_fields,ie0_len,ie0_info,ie0,ie1_len,ie1_info,ie1,ie50_len,ie50_info,ie50,ie3_len,ie3_info,ie3,ie45_len,ie45_info,ie45,ie45_bitmask,ie45_flags,ie127_len,ie127_info,ie127,ie107_len,ie107_info,ie107,ie191_len,ie191_info,ie191
21,aa:b2:28:5c:12:a1,1,1972,26,-26,1681285845.043927,4,"[[80, 111, 154, 22, 3, 1, 2]]",5271823,0,[],0,5271450,373,0,[],0,4,"[2, 4, 11, 22]",39,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[3],3,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0
21,aa:b2:28:5c:12:a1,1,1975,26,-62,1681285845.099697,4,"[[80, 111, 154, 22, 3, 1, 2]]",5271823,0,[],0,5271450,373,0,[],0,4,"[2, 4, 11, 22]",39,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[6],6,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0
1,02:b0:2d:84:c5:f7,1,139,18,-47,1681285853.0,26,"[[0, 144, 76, 4, 8, 191, 12, 50, 80, 144, 15, 250, 255, 0, 0, 250, 255, 0, 0], [0, 80, 242, 8, 0, 17, 0], [0, 16, 24, 2, 0, 0, 16, 0, 0]]",63921,0,[],0,61782,2139,0,[],0,4,"[2, 4, 11, 22]",39,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[1],1,26.0,"[99, 17, 23, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",649.0,510.0,139.0,6.0,"[0, 0, 8, 128, 1, 64]",201.0,-1.0,-1,-1.0,-1.0,-1,-1.0
1,02:b0:2d:84:c5:f7,1,140,18,-47,1681285853.001214,26,"[[0, 144, 76, 4, 8, 191, 12, 50, 80, 144, 15, 250, 255, 0, 0, 250, 255, 0, 0], [0, 80, 242, 8, 0, 17, 0], [0, 16, 24, 2, 0, 0, 16, 0, 0]]",63921,0,[],0,61782,2139,8,"[99, 111, 114, 110, 101, 108, 105, 97]",845,4,"[2, 4, 11, 22]",39,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[1],1,26.0,"[99, 17, 23, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",649.0,510.0,139.0,6.0,"[0, 0, 8, 128, 1, 64]",201.0,-1.0,-1,-1.0,-1.0,-1,-1.0
1,02:b0:2d:84:c5:f7,1,141,18,-51,1681285853.002542,26,"[[0, 144, 76, 4, 8, 191, 12, 50, 80, 144, 15, 250, 255, 0, 0, 250, 255, 0, 0], [0, 80, 242, 8, 0, 17, 0], [0, 16, 24, 2, 0, 0, 16, 0, 0]]",63921,0,[],0,61782,2139,12,"[67, 97, 115, 101, 116, 116, 97, 32, 87, 105, 102, 105]",1140,4,"[2, 4, 11, 22]",39,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[1],1,26.0,"[99, 17, 23, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",649.0,510.0,139.0,6.0,"[0, 0, 8, 128, 1, 64]",201.0,-1.0,-1,-1.0,-1.0,-1,-1.0
1,02:b0:2d:84:c5:f7,1,142,18,-51,1681285853.039667,26,"[[0, 144, 76, 4, 8, 191, 12, 50, 80, 144, 15, 250, 255, 0, 0, 250, 255, 0, 0], [0, 80, 242, 8, 0, 17, 0], [0, 16, 24, 2, 0, 0, 16, 0, 0]]",63921,0,[],0,61782,2139,0,[],0,4,"[2, 4, 11, 22]",39,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[1],1,26.0,"[99, 17, 23, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",649.0,510.0,139.0,6.0,"[0, 0, 8, 128, 1, 64]",201.0,-1.0,-1,-1.0,-1.0,-1,-1.0
1,02:b0:2d:84:c5:f7,1,143,18,-55,1681285853.040967,26,"[[0, 144, 76, 4, 8, 191, 12, 50, 80, 144, 15, 250, 255, 0, 0, 250, 255, 0, 0], [0, 80, 242, 8, 0, 17, 0], [0, 16, 24, 2, 0, 0, 16, 0, 0]]",63921,0,[],0,61782,2139,8,"[99, 111, 114, 110, 101, 108, 105, 97]",845,4,"[2, 4, 11, 22]",39,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[1],1,26.0,"[99, 17, 23, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",649.0,510.0,139.0,6.0,"[0, 0, 8, 128, 1, 64]",201.0,-1.0,-1,-1.0,-1.0,-1,-1.0
1,02:b0:2d:84:c5:f7,1,144,18,-55,1681285853.042403,26,"[[0, 144, 76, 4, 8, 191, 12, 50, 80, 144, 15, 250, 255, 0, 0, 250, 255, 0, 0], [0, 80, 242, 8, 0, 17, 0], [0, 16, 24, 2, 0, 0, 16, 0, 0]]",63921,0,[],0,61782,2139,12,"[67, 97, 115, 101, 116, 116, 97, 32, 87, 105, 102, 105]",1140,4,"[2, 4, 11, 22]",39,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[1],1,26.0,"[99, 17, 23, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",649.0,510.0,139.0,6.0,"[0, 0, 8, 128, 1, 64]",201.0,-1.0,-1,-1.0,-1.0,-1,-1.0
11,02:a8:21:b2:4e:26,1,1082,26,-26,1681285857.0,4,"[[0, 80, 242, 8, 0, 39, 0]]",21091,0,[],0,20722,369,0,[],0,4,"[2, 4, 11, 22]",39,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[1],1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0
11,02:a8:21:b2:4e:26,1,1083,26,-28,1681285857.021738,4,"[[0, 80, 242, 8, 0, 39, 0]]",21091,0,[],0,20722,369,0,[],0,4,"[2, 4, 11, 22]",39,8,"[12, 18, 24, 36, 48, 72, 96, 108]",414,1,[1],1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0
